job_title,company_name,location,job_type,experience_level,education_req,salary_range,job_requirements,job_responsibilities,industries,job_function,applicant_count,posted_date,source_platform,source_url,scraped_at
Process Development Internship,Kalbe Nutritionals (PT Sanghiang Perkasa),Jakarta Timur,,Magang,,Tidak Dicantumkan,Requirements Kualifikasi Siswa dari SMK Jurusan Analisa Kimia Mahasiswa minimal semester 6 yang sedang dalam terbuka untuk mengikuti Program Magang Memahami proses uji sampel makanan di laboratorium Teliti dan memiliki analisa masalah yang baik Bersedia mengikuti program Magang selama 6 bulan. Periode Program Magang dari bulan Maret - September 2026 Show more Show less,Responsibilities Aktifitas Pembelajaran: Membantu persiapan uji sampel produk di laboratorium Menyiapkan sampel bahan baku uji produk Mengumpulkan data hasill uji laboratorium Membantu proses ujicoba produk skala lab Requirements Kualifikasi Siswa dari SMK Jurusan Analisa Kimia Mahasiswa minimal semester 6 yang sedang dalam terbuka untuk mengikuti Program Magang Memahami proses uji sampel makanan di laboratorium Teliti dan memiliki analisa masalah yang baik Bersedia mengikuti program Magang selama 6 bulan. Periode Program Magang dari bulan Maret - September 2026 Show more Show less,Jasa Penyedia Makanan dan Minuman,"Manajemen, Manufaktur",73,2026-03-02,LinkedIn,https://id.linkedin.com/jobs/view/process-development-internship-at-kalbe-nutritionals-pt-sanghiang-perkasa-4377766183,2026-03-04 18:50:27
Business Finance & Analytics Officer,PT. Sarimelati Kencana Tbk.,"Jakarta Raya, Indonesia",,Senior tingkat menengah,,Tidak Dicantumkan,"Requirements: Min S1/ Bachelor's degree in Finance, Accounting, Business, or related field. Strong analytical with attention to detail. Proficiency in budgeting, financial modeling and data analysis. Knowledge of accounting principles and financial reporting. Excellent communication and presentation skills. Advanced proficiency in Microsoft Excel and other relevant financial software. Experience in creating dashboards with Google Data Studio/Looker is preferable. Show more Show less","Responsibilities: Financial Analysis: provide comprehensive financial analysis to identify trends, variances, and areas for improvement. Budgeting and Forecasting: assist in the crafting and monitoring of budgets and financial forecasts. Reporting: prepare and present clear and concise financial reports for management and stakeholders. Cost Management: analyze costs and expenses, identifying opportunities for cost savings and efficiency improvements. Financial Planning: work cross-functionally to support the execution of financial plans. Data Management: gather, maintain and analyze financial data from various sources, ensuring accuracy and completeness. Month-end closing: assist in month end closing activities related to budget and FP&A. Requirements: Min S1/ Bachelor's degree in Finance,","Restoran, Jasa Keuangan","Keuangan, Analis, Akuntansi/Audit",,2026-02-11,LinkedIn,https://id.linkedin.com/jobs/view/business-finance-analytics-officer-at-pt-sarimelati-kencana-tbk-4371106829,2026-03-04 18:50:33
Auditor,PT Bank Mandiri (Persero) Tbk.,"Jakarta Raya, Indonesia",,Senior tingkat menengah,,Tidak Dicantumkan,Requirements Pendidikan minimal S1/setara. Pengalaman minimal 4 tahun sebagai Auditor di Banking Industry. Memiliki pengetahuan terkait produk kredit. Show more Show less,tugas dan standar profesi. Melaksanakan penugasan adhoc yang diberikan oleh Audit Manager. Requirements Pendidikan minimal S1/setara. Pengalaman minimal 4 tahun sebagai Auditor di Banking Industry. Memiliki pengetahuan terkait produk kredit. Show more Show less,Perbankan,Akuntansi/Audit,,2026-02-23,LinkedIn,https://id.linkedin.com/jobs/view/auditor-at-pt-bank-mandiri-persero-tbk-4375399822,2026-03-04 18:50:37
Staff-Collection & Reconcile HBB,PT. Indosat Tbk,"Jakarta Raya, Indonesia",,Senior tingkat menengah,,Tidak Dicantumkan,"Qualification Proven experience as Collection and Payment specialist or similar role Knowledge of billing procedures and collection techniques (e.g. skip tracing) Familiarity with laws related to debt collection (e.g. FDCPA) Working knowledge of MS Office and databases Comfortable working with targets Patience and ability to manage stress Ability to think strategically and to lead Related Experience At least 3 years' experience as a collection expert, or a similar customer support role. Proven track record of managing all aspects of a successful product throughout its lifecycle Proven ability to solve issue on billing and payment Background in collection and payments activities Strong problem solving skills and willingness to roll up one's sleeves to get the job Skilled at working effectiv","Responsibilities: Collection & Reconcile Management HBB To do collection for all outstanding customers Payment reminders for all HBB Customers Process payments, refunds and adjustment Problem resolution for billing and customer credit issues Problem resolution for customer payment issue Report on collection activity and accounts receivable status Change Payment Method in Siebel Register or unregister for auto debit customers Dunning monitoring to ensure that all dunning process run well Payment Reconciliation with Payment Partners including coordinate with related stakeholders if data not completed. Support for additional payment point Qualification Proven experience as Collection and Payment specialist or similar role Knowledge of billing procedures and collection techniques (e.g. skip tr",Telekomunikasi,"Akuntansi/Audit, Keuangan",,2026-02-25,LinkedIn,https://id.linkedin.com/jobs/view/staff-collection-reconcile-hbb-at-pt-indosat-tbk-4377553265,2026-03-04 18:50:42
"Data Analyst, Business Intelligence",Shopee,"Jakarta Raya, Indonesia",,Tingkat pemula,,Tidak Dicantumkan,"Requirements Master's or Bachelor's degree in quantitative fields or a relevant field of study Experience working with one or more language for querying (e.g. SQL) Familiarity working with BI tools (e.g Tableau, PowerBI, Looker) strongly preferred Familiarity with advanced analytics languages like Python or R will be an advantage Experience working with multiple stakeholders across various divisions Ability to converse in English and Bahasa Indonesia to communicate with internal stakeholders Exceptional interpersonal skills Self-starter with a can-do attitude Show more Show less","Job Description Assist the various business units as a discussion partner to plan, strategise, and grow Shopee's business by enabling data-driven decision-making Serve as in-consultant who simplifies complex terminologies into more understandable insights to internal stakeholders Collect, clean, and analyze large data sets to support business decisions Develop and deploy dashboards to monitor key metrics. Conduct ad-hoc analysis to support decision-making and special projects Requirements Master","Platform Marketplace Internet, Teknologi, Informasi, dan Internet","Strategi/Perencanaan, Analis, Konsultasi",,2026-03-02,LinkedIn,https://id.linkedin.com/jobs/view/data-analyst-business-intelligence-at-shopee-3611204797,2026-03-04 18:50:48
Finance Accounting,LG Sinar Mas,Area DKI Jakarta,,Asosiasi,,Tidak Dicantumkan,"Qualifications Bachelor’s degree in accounting from a reputable university Minimum 2 years of experience in finance or accounting roles Experience in Big Four accounting firms is an advantage Fluent in English, both written and verbal, is a must Good understanding of basic accounting principles and financial processes Proficient in Microsoft Excel and familiar with accounting software Detail oriented, well organized, and disciplined Strong attention to detail and numerical accuracy Show more Show less","Responsibilities Manage and verify supplier invoices to ensure accuracy and compliance Prepare and process payments to customers and vendors in a timely manner Record daily financial transactions related to operational activities Monitor accounts payable and accounts receivable Assist in month-end and year-end closing activities Maintain accurate and well documented financial records Support internal financial reporting and reconciliation tasks Coordinate with internal teams and external parties Qualifications Bachelor’s degree in accounting from a reputable university Minimum 2 years of experience in finance or accounting roles Experience in Big Four accounting firms is an advantage Fluent in English, both written and verbal, is a must Good understanding of basic accounting principles and","Jasa TI dan Konsultan TI, Konsultan dan Jasa Bisnis",Keuangan,,2026-02-24,LinkedIn,https://id.linkedin.com/jobs/view/finance-accounting-at-lg-sinar-mas-4376033406,2026-03-04 18:50:53
Business Analyst,OTO,Jakarta Barat,,Senior tingkat menengah,,Tidak Dicantumkan,"Requirements: Bachelor's Degree in Engineering, Finance, Economics, or related field is required Having experience working in a consulting firm or a similar field is a plus Prior experience working as a Business Analyst / Consultant or related role (3-5 years) Proficient in MS Excel, SQL and Data Visualization Tools such as Tableau and Python Strong analytical and problem-solving skills Excellent written and verbal communication skills (English & Bahasa) Ability to work independently and in a team environment Experience in the automotive industry is a plus Knowledge of statistical analysis, data mining, and machine learning is a plus Show more Show less","Responsibilities: Responsible for collecting, analyzing and interpreting data, and creating reports that can be used to inform the overall business strategy. You will work with various teams to identify trends, patterns, and opportunities, and provide insights on key metrics. You will be responsible for communicating findings to stakeholders and aligning data-driven strategy. Requirements: Bachelor's Degree in Engineering, Finance, Economics, or related field is required Having experience working in a consulting firm or a similar field is a plus Prior experience working as a Business Analyst / Consultant or related role (3-5 years) Proficient in MS Excel, SQL and Data Visualization Tools such as Tableau and Python Strong analytical and problem-solving skills Excellent written and verbal co","Manufaktur Kendaraan Bermotor, Jasa Keuangan","Analis, Manajemen Proyek, Bisnis Umum",,2026-03-03,LinkedIn,https://id.linkedin.com/jobs/view/business-analyst-at-oto-4379165743,2026-03-04 18:50:59
Sales & Financial Business Analyst,PT Bank Sinarmas Tbk,Jakarta Barat,,Asosiasi,,Tidak Dicantumkan,"Requirements Pendidikan min. S1 Finance / Akuntansi / Manajemen. Memiliki pengalaman 2-3 tahun dibidang Akuntansi / Finance & Perbankan Memiliki pengetahuan mengenai Operasional Perbankan, Product Perbankan, System Perbankan, serta Finance & Accounting. Memiliki pengetahuan & mampu mengerjakan laporan Profit and Loss. Memiliki kemampuan dalam mengerjakan Financial Modelling Scope of Work Mengumpulkan dan memvalidasi data yang diterima dari unit kerja lain untuk perhitungan KPI Financial. Melakukan analisis dan membuat laporan hasil perhitungan KPI Financial kepada unit kerja terkait. Menganalisis data penjualan dan membuat laporan profitabilitas sales untuk dikirimkan kepada manajemen dan stakeholder lainnya. Menerima dan menganalisis kelayakan proposal dari Unit Bisnis untuk memberikan re","Requirements Pendidikan min. S1 Finance / Akuntansi / Manajemen. Memiliki pengalaman 2-3 tahun dibidang Akuntansi / Finance & Perbankan Memiliki pengetahuan mengenai Operasional Perbankan, Product Perbankan, System Perbankan, serta Finance & Accounting. Memiliki pengetahuan & mampu mengerjakan laporan Profit and Loss. Memiliki kemampuan dalam mengerjakan Financial Modelling Scope of Work Mengumpulkan dan memvalidasi data yang diterima dari unit kerja lain untuk perhitungan KPI Financial. Melakuk",Perbankan,"Akuntansi/Audit, Keuangan, Analis",,2026-02-20,LinkedIn,https://id.linkedin.com/jobs/view/sales-financial-business-analyst-at-pt-bank-sinarmas-tbk-4374354947,2026-03-04 18:51:05
Experience Transformation Analyst,PT. Indosat Tbk,"Jakarta Raya, Indonesia",,Senior tingkat menengah,,Tidak Dicantumkan,"Requirements: Bachelor’s degree in business administration, Marketing, Communication, Statistics, Information Systems, engineering, or a related field. Minimum 2 years of hands-on experience in roles related to customer experience (CX), journey analysis, or business/data analysis, preferably in a B2C/B2B environment (e.g., telco, e-commerce, banking, retail). Proven track record in supporting customer journey initiatives, data reporting, or improvement projects involving customer touchpoints. Good understanding of B2C/B2B customer journeys, including both: Digital channels and Offline channels Able to link customer pain points or feedback to specific steps in the journey for further action. Show more Show less","Responsibilities: Document and update end-to-end customer journeys across digital and physical touchpoints. Validate journey steps using real customer behavior and feedback. Identify pain points and improvement areas along the customer lifecycle by performing on the field benchmarking Support the implementation of journey improvements or feature rollouts. Coordinate follow-up on action items from CX reviews and internal discussions. Track the effectiveness of changes implemented. Compile and analyse feedback from surveys, NPS, CSAT, complaints, and service interactions. Link feedback to specific online/offline journey stages. Prioritize issues based on impact and frequency. Prepare materials and notes for internal meetings. Ensure action ownership and timely execution Research trends and b","Telekomunikasi, Platform Marketplace Internet, Perbankan","Pengembangan Bisnis, Riset, Pemasaran",,2026-02-10,LinkedIn,https://id.linkedin.com/jobs/view/experience-transformation-analyst-at-pt-indosat-tbk-4370630014,2026-03-04 18:51:11
Consumer Insights & Marketing Intelligence Staff - Jakarta,Lemonilo,"Jakarta Raya, Indonesia",,Tingkat pemula,,Tidak Dicantumkan,"As a Marketing Team , you will be responsible for managing end-to-end in-house and external research projects, serving as the PIC for assigned brands, and overseeing budget, reporting, and CI database management, while reporting to the Consumer Insight Junior Manager and collaborating with cross-functional teams. What will you do? Responsible for managing end-to-end in-house research projects (including NPS, impact surveys, IDI, FGD, etc.), from planning, budgeting, managing external field teams","As a Marketing Team , you will be responsible for managing end-to-end in-house and external research projects, serving as the PIC for assigned brands, and overseeing budget, reporting, and CI database management, while reporting to the Consumer Insight Junior Manager and collaborating with cross-functional teams. What will you do? Responsible for managing end-to-end in-house research projects (including NPS, impact surveys, IDI, FGD, etc.), from planning, budgeting, managing external field teams","Jasa Kesejahteraan dan Kebugaran, Manufaktur Makanan dan Minuman","Analis, Pemasaran, Riset",,2026-02-25,LinkedIn,https://id.linkedin.com/jobs/view/consumer-insights-marketing-intelligence-staff-jakarta-at-lemonilo-4376725643,2026-03-04 18:51:16
